Price,Close,High,Low,Open,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Date,,,,,
2023-03-10,747.5299072265625,759.3405528267886,745.8124097477674,757.7877342975839,27387000
2023-03-13,738.072021484375,754.6587021432177,736.378016657003,747.1770389538884,26443550
2023-03-14,736.095703125,745.1536776871493,733.7194897165334,738.871924998176,33185612
2023-03-15,725.531982421875,744.8242911372867,723.0380756365349,742.518613485844,37264754
2023-03-16,730.2374877929688,733.6253827432038,720.8971977764778,724.1674566876147,21753342
2023-03-17,740.001220703125,743.0832502208515,724.6379437201263,732.872465807855,22950876
2023-03-20,734.872314453125,737.8602582697146,727.1789292121517,737.7896651604547,26503114
2023-03-21,743.2008666992188,744.6360492011116,732.2607162133256,739.6717858973177,33050494
2023-03-22,741.4834594726562,746.3065367820185,736.5427461313584,745.3418983443586,14177324
2023-03-23,735.5310668945312,748.3298442303328,733.3665753885533,737.6955584005092,28364178
2023-03-24,734.354736328125,740.5894462913667,731.672600219878,734.0488711439208,31477748
2023-03-27,737.5543823242188,743.2009119510649,733.5312644287726,735.0840256124735,31872006
2023-03-28,743.5538330078125,744.8243366596708,735.9780837810274,736.7309429231635,39276302
2023-03-29,747.1300048828125,753.8117086629634,744.3537829822396,745.3419141836042,39763612
2023-03-31,757.3643188476562,758.9641229199791,749.2944756215733,750.8001938447484,34711228
2023-04-03,757.8348388671875,760.2580950806143,754.1645718356727,756.4232065380613,40025398
2023-04-05,778.162353515625,779.2210778061225,760.3993126417233,761.6227158895156,43365392
2023-04-06,784.0911865234375,785.4322257837855,775.0332121712797,775.7155356121361,44637344
2023-04-10,780.3739013671875,786.279253264863,778.2800029324256,782.6325362015459,31813286
2023-04-11,782.6560668945312,785.5263745720944,776.9153940999365,780.6327041791595,42361542
2023-04-12,792.8197631835938,794.3725242452252,784.7734705857865,784.8675564297163,26955504
2023-04-13,796.3723754882812,798.5369243988409,789.6436290142468,794.4196633355537,35330086
2023-04-17,784.232421875,809.3359408789019,777.9506689380494,809.3359408789019,32405148
2023-04-18,780.9150390625,789.2201545767946,779.409320798374,785.8087095801144,29637226
2023-04-19,783.7853393554688,785.9498883188254,779.7622214820356,783.4559814381594,24741168
2023-04-20,786.7026977539062,789.3141830634049,784.114705185892,786.6085544695718,32922716
2023-04-21,787.9732055664062,789.0789728078074,782.632541063875,785.3381698695971,20128618
2023-04-24,794.3490600585938,795.9018211760426,787.7378922601202,793.8079228378825,35675852
2023-04-25,783.0560302734375,794.1373101398341,781.9973059743854,794.1373101398341,50353068
2023-04-26,786.6557006835938,788.1614189260529,778.7505363120105,781.1032569655212,27392750
2023-04-27,790.9846801757812,792.9844927223292,783.8559251396049,786.0439668254863,47790392
2023-04-28,794.0902709960938,795.6901325435074,785.8087057052971,792.7256815162565,27916272
2023-05-02,793.925537109375,799.4544303149078,791.4551805707328,794.6078030823567,32221184
2023-05-03,796.7018432617188,798.0428826083962,790.3494972032203,792.8433467476884,29407270
2023-05-04,813.0061645507812,816.1352370396936,793.854984143066,793.854984143066,56854638
2023-05-05,764.9400634765625,781.5502365207708,763.2696088675456,771.2218160178564,62770416
2023-05-08,773.7861938476562,776.5624154235772,766.9868548281855,769.3395752417689,37244524
2023-05-09,773.809814453125,779.2210718968531,771.6688157061234,776.3507642189433,43688938
2023-05-10,777.3859252929688,778.5858357687807,768.4455870574889,773.8098014866703,46340550
2023-05-11,777.9035034179688,794.2784615005197,776.0448771503153,783.5265400231958,35734618
2023-05-12,784.7734985351562,787.1262191118421,773.6921616431785,774.9861579603557,22478760
2023-05-15,788.5379028320312,790.8670733789118,783.5030460062161,786.7498121014669,18512260
2023-05-16,784.0164184570312,795.676954900202,782.4457923499049,795.676954900202,32722086
2023-05-17,779.8043212890625,785.301454711313,773.5695152985659,785.301454711313,30466868
2023-05-18,782.9217529296875,787.1813951546842,780.5420515530016,784.3495737556991,49646942
2023-05-19,783.8260498046875,785.3014530362109,776.5203782097135,784.349572487076,30460332
2023-05-22,781.0418090820312,786.6816897034832,777.0676613196846,782.9217499231227,28334032
2023-05-23,779.2094116210938,785.1110827766864,777.424635551752,784.8255302252276,22470074
2023-05-24,769.0242919921875,778.0433366405689,767.97718856585,774.6165900227895,33588112
2023-05-25,766.0734252929688,771.0470358326252,760.2431571504617,768.9766492381739,29776930
2023-05-26,769.0242919921875,770.5472775782725,762.5752782580527,770.5472775782725,26635066
2023-05-29,778.4003295898438,781.018001135392,773.3315539774645,775.0687476227823,21816292
2023-05-30,778.9952392578125,781.803298478866,775.0925522713837,777.4960157831825,37125928
2023-05-31,766.6683959960938,778.1385452378286,763.7175894701995,775.7350816589801,43334270
2023-06-01,763.4081420898438,770.9756034970274,761.5043811370012,770.9756034970274,50366938
2023-06-02,764.5980834960938,768.5484111816887,761.9804118750365,767.4299050105108,17859710
2023-06-05,763.5985717773438,769.3574373566041,762.6704534029132,768.405556827861,18697242
2023-06-06,761.2188720703125,766.1924246042752,757.8158875532016,765.1453792597074,32182852
2023-06-07,765.1691284179688,767.4774851444025,759.6006506468581,763.1463823244543,24949026
2023-06-08,765.6450805664062,773.8788703848019,763.0512293631203,763.0512293631203,37395522
2023-06-09,766.5493774414062,770.3093171459678,764.8360041109486,769.071884079425,18212578
2023-06-12,761.8851928710938,769.0242967844355,761.242627040352,767.4774909365448,13408292
2023-06-13,763.1702270507812,765.787898549864,756.7926157788348,756.7926157788348,27926108
2023-06-14,762.3373413085938,767.2157291646344,761.5996106374333,766.4779984934739,20113968
2023-06-15,752.9613037109375,764.3362293276359,751.5096626938229,763.4081690695959,35377476
2023-06-16,762.813232421875,765.8830237819631,753.8893527725784,755.3885761732952,15779272
2023-06-19,763.4795532226562,768.2865380623241,760.7190765711136,766.7397322709644,24829146
2023-06-20,765.073974609375,766.7397655338744,757.0543927782061,763.4795863441324,20005626
